dataset,local_model,method,accuracy,correct,total,retrieval_hit_rate,retrieval_hits,avg_context_chars,avg_context_tokens_approx,avg_generation_latency,avg_total_latency,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens,empty_answers
AliceQA-61,gemma4-31b-gguf,Raw RAG,72.1311475409836,44,61,86.88524590163934,53,4795.7213114754095,1198.950819672131,14.25081386331652,14.250933846489328,1369.377049180328,13.37704918032787,1382.7540983606557,0
AliceQA-61,gemma4-31b-gguf,Summary Memory,90.1639344262295,55,61,90.1639344262295,55,7997.803278688524,1999.8032786885246,39.74421188088714,39.74435862165983,1959.8852459016393,62.16393442622951,2022.049180327869,0
